growth,gross_margin,operating_cash_flow,net_profit_margin,ebitda,cac,ltv,pe_ratio,debt_ratio,time_stamp
15.1,53.3,8.1,14.7,11.0,354,3630,34.6,0.37,2025-10-19T09:15:22.145321+00:00
15.4,53.4,8.2,14.8,11.1,350,3649,35.3,0.37,2025-10-19T14:42:58.763112+00:00
15.6,53.6,8.4,15.0,11.2,347,3667,35.7,0.37,2025-10-19T21:03:47.389004+00:00
15.8,53.8,8.4,15.1,11.3,344,3685,36.1,0.36,2025-10-20T09:15:22.145321+00:00
16.0,54.0,8.6,15.3,11.4,341,3704,36.4,0.36,2025-10-20T14:42:58.763112+00:00
16.3,54.2,8.7,15.4,11.5,338,3721,36.8,0.36,2025-10-20T21:03:47.389004+00:00
16.5,54.3,8.8,15.6,11.7,336,3735,37.2,0.36,2025-10-21T09:15:22.145321+00:00
16.7,54.5,8.9,15.8,11.8,335,3749,37.6,0.35,2025-10-21T14:42:58.763112+00:00
16.9,54.7,8.9,16.0,11.9,333,3767,38.0,0.35,2025-10-21T21:03:47.389004+00:00
17.1,54.8,9.0,16.1,12.1,330,3781,38.0,0.35,2025-10-22T09:15:22.145321+00:00
17.3,55.0,9.1,16.3,12.2,329,3794,38.0,0.35,2025-10-22T14:42:58.763112+00:00
17.6,55.2,9.2,16.5,12.3,325,3813,38.0,0.34,2025-10-22T21:03:47.389004+00:00
17.8,55.4,9.3,16.6,12.4,320,3829,38.0,0.34,2025-10-23T09:15:22.145321+00:00
18.0,55.6,9.4,16.8,12.6,316,3858,38.0,0.34,2025-10-23T14:42:58.763112+00:00
18.0,55.8,9.5,17.0,12.7,312,3857,38.0,0.34,2025-10-23T21:03:47.389004+00:00
18.0,56.0,9.5,17.1,12.8,308,3883,38.0,0.33,2025-10-24T09:15:22.145321+00:00
18.0,56.1,9.5,17.3,12.9,306,3910,38.0,0.33,2025-10-24T14:42:58.763112+00:00
18.0,56.2,9.5,17.4,13.0,305,3913,38.0,0.33,2025-10-24T21:03:47.389004+00:00
18.0,56.4,9.5,17.6,13.0,302,3929,38.0,0.32,2025-10-25T09:15:22.145321+00:00
18.0,56.6,9.5,17.8,13.0,299,3944,38.0,0.32,2025-10-25T14:42:58.763112+00:00
18.0,56.8,9.5,18.0,13.0,297,3952,38.0,0.32,2025-10-25T21:03:47.389004+00:00
18.0,57.0,9.5,18.0,13.0,292,3965,38.0,0.32,2025-10-26T09:15:22.145321+00:00
18.0,57.1,9.5,18.0,13.0,290,3975,38.0,0.31,2025-10-26T14:42:58.763112+00:00
18.0,57.4,9.5,18.0,13.0,288,4005,38.0,0.31,2025-10-26T21:03:47.389004+00:00
18.0,57.5,9.5,18.0,13.0,283,4030,38.0,0.31,2025-10-27T09:15:22.145321+00:00
18.0,57.8,9.5,18.0,13.0,282,4057,38.0,0.31,2025-10-27T14:42:58.763112+00:00
18.0,58.0,9.5,18.0,13.0,280,4080,38.0,0.31,2025-10-27T21:03:47.389004+00:00
18.0,58.1,9.5,18.0,13.0,280,4090,38.0,0.3,2025-10-28T09:15:22.145321+00:00
18.0,58.2,9.5,18.0,13.0,280,4104,38.0,0.3,2025-10-28T14:42:58.763112+00:00
18.0,58.4,9.5,18.0,13.0,280,4126,38.0,0.3,2025-10-28T21:03:47.389004+00:00
18.0,58.6,9.5,18.0,13.0,280,4135,38.0,0.3,2025-10-29T09:15:22.145321+00:00
18.0,58.8,9.5,18.0,13.0,280,4158,38.0,0.29,2025-10-29T14:42:58.763112+00:00
18.0,59.0,9.5,18.0,13.0,280,4174,38.0,0.29,2025-10-29T21:03:47.389004+00:00
18.0,59.1,9.5,18.0,13.0,280,4190,38.0,0.29,2025-10-30T09:15:22.145321+00:00
18.0,59.3,9.5,18.0,13.0,280,4213,38.0,0.29,2025-10-30T14:42:58.763112+00:00
18.0,59.4,9.5,18.0,13.0,280,4234,38.0,0.28,2025-10-30T21:03:47.389004+00:00
18.0,59.6,9.5,18.0,13.0,280,4249,38.0,0.28,2025-10-31T09:15:22.145321+00:00
18.0,59.8,9.5,18.0,13.0,280,4275,38.0,0.28,2025-10-31T14:42:58.763112+00:00
18.0,59.9,9.5,18.0,13.0,280,4286,38.0,0.28,2025-10-31T21:03:47.389004+00:00
