revenue_growth_pct,gross_margin_pct,avg_order_value,conversion_rate_pct,cart_abandonment_rate_pct,customer_acquisition_cost,repeat_purchase_rate_pct,monthly_active_users,return_rate_pct,time_stamp
27.5,46.3,110.0,4.8,51.5,27.5,29.3,228,7.1,2026-01-10T08:22:19.000000+00:00
28.0,46.6,111.2,4.9,50.9,27.0,29.7,233,7.0,2026-01-10T15:47:33.000000+00:00
28.6,46.9,112.4,5.0,50.3,26.4,30.1,238,6.9,2026-01-10T22:11:08.000000+00:00
29.1,47.2,113.6,5.1,49.6,25.9,30.5,243,6.8,2026-01-11T08:22:19.000000+00:00
29.7,47.5,114.9,5.2,49.0,25.3,30.9,249,6.7,2026-01-11T15:47:33.000000+00:00
30.2,47.8,116.1,5.3,48.4,24.8,31.3,254,6.6,2026-01-11T22:11:08.000000+00:00
30.8,48.1,117.3,5.4,47.7,24.2,31.7,260,6.5,2026-01-12T08:22:19.000000+00:00
31.3,48.4,118.5,5.5,47.1,23.7,32.1,266,6.4,2026-01-12T15:47:33.000000+00:00
31.9,48.7,119.7,5.6,46.5,23.1,32.5,272,6.3,2026-01-12T22:11:08.000000+00:00
32.4,49.0,120.9,5.7,45.8,22.6,32.9,278,6.2,2026-01-13T08:22:19.000000+00:00
33.0,49.3,122.2,5.8,45.2,22.0,33.3,284,6.1,2026-01-13T15:47:33.000000+00:00
33.5,49.6,123.4,5.9,44.6,21.5,33.7,290,6.0,2026-01-13T22:11:08.000000+00:00
34.1,49.9,124.6,6.0,43.9,20.9,34.1,296,5.9,2026-01-14T08:22:19.000000+00:00
34.6,50.2,125.8,6.1,43.3,20.4,34.5,302,5.8,2026-01-14T15:47:33.000000+00:00
35.2,50.5,127.0,6.2,42.7,19.8,34.9,309,5.7,2026-01-14T22:11:08.000000+00:00
35.7,50.8,128.3,6.3,42.0,19.3,35.3,315,5.6,2026-01-15T08:22:19.000000+00:00
36.3,51.1,129.5,6.4,41.4,18.7,35.7,322,5.5,2026-01-15T15:47:33.000000+00:00
36.8,51.4,130.7,6.5,40.8,18.2,36.1,329,5.4,2026-01-15T22:11:08.000000+00:00
37.4,51.7,131.9,6.6,40.1,17.6,36.5,336,5.3,2026-01-16T08:22:19.000000+00:00
37.9,52.0,133.1,6.7,39.5,17.1,36.9,343,5.2,2026-01-16T15:47:33.000000+00:00
38.5,52.3,134.4,6.8,38.9,16.5,37.3,350,5.1,2026-01-16T22:11:08.000000+00:00
39.0,52.6,135.6,6.9,38.2,16.0,37.7,357,5.0,2026-01-17T08:22:19.000000+00:00
39.6,52.9,136.8,7.0,37.6,15.4,38.1,365,4.9,2026-01-17T15:47:33.000000+00:00
40.1,53.2,138.0,7.1,37.0,14.9,38.5,372,4.8,2026-01-17T22:11:08.000000+00:00
40.7,53.5,139.2,7.2,36.3,14.3,38.9,380,4.7,2026-01-18T08:22:19.000000+00:00
41.2,53.8,140.5,7.3,35.7,13.8,39.3,388,4.6,2026-01-18T15:47:33.000000+00:00
41.8,54.1,141.7,7.4,35.1,13.2,39.7,396,4.5,2026-01-18T22:11:08.000000+00:00
42.3,54.4,142.9,7.5,34.4,12.7,40.1,404,4.4,2026-01-19T08:22:19.000000+00:00
42.9,54.7,144.1,7.6,33.8,12.1,40.5,412,4.3,2026-01-19T15:47:33.000000+00:00
43.4,55.0,145.3,7.7,33.2,11.6,40.9,420,4.2,2026-01-19T22:11:08.000000+00:00
44.0,55.3,146.6,7.8,32.5,11.0,41.3,429,4.1,2026-01-20T08:22:19.000000+00:00
