temperature,humidity,pressure,co2,pm2_5,light,motion,battery,signal_strength,time_stamp
20.7,45.2,1011.5,392,2.2,178,0,93.4,-68.9,2026-01-07T21:36:00
21.7,46.8,1014.2,456,4.3,138,0,92.0,-75.3,2026-01-08T00:00:00
23.0,43.3,1012.8,408,0.7,322,0,92.1,-69.6,2026-01-08T02:24:00
20.2,43.6,1014.4,407,4.1,224,0,93.5,-65.2,2026-01-08T04:48:00
19.0,35.1,1012.6,402,22.9,115,0,94.8,-65.4,2026-01-08T07:12:00
18.0,31.7,1015.5,402,0.0,135,1,94.2,-70.8,2026-01-08T09:36:00
17.0,38.8,1012.2,319,11.5,188,0,93.3,-67.9,2026-01-08T12:00:00
19.5,34.5,1020.7,402,12.1,199,0,92.0,-71.7,2026-01-08T14:24:00
18.9,39.8,1011.4,379,13.1,187,0,94.3,-65.5,2026-01-08T16:48:00
22.5,29.6,1012.0,389,0.0,161,0,94.5,-67.2,2026-01-08T19:12:00
22.5,43.6,1009.6,384,16.9,139,0,95.3,-67.9,2026-01-08T21:36:00
21.4,42.2,1011.9,435,1.2,231,0,91.5,-69.0,2026-01-09T00:00:00
17.5,44.6,1012.4,384,22.5,165,0,94.7,-74.2,2026-01-09T02:24:00
17.4,48.8,1006.8,451,14.1,195,1,95.3,-70.1,2026-01-09T04:48:00
22.2,40.6,1013.5,389,11.4,215,0,94.7,-75.1,2026-01-09T07:12:00
20.3,39.1,1013.1,410,6.6,161,0,91.4,-69.4,2026-01-09T09:36:00
18.0,42.0,1007.9,431,16.7,213,0,92.7,-67.1,2026-01-09T12:00:00
16.3,33.6,1011.1,401,17.2,164,0,93.0,-71.8,2026-01-09T14:24:00
17.2,35.4,1008.9,371,22.5,153,0,91.3,-62.1,2026-01-09T16:48:00
18.3,43.5,1011.3,404,37.6,195,0,92.1,-70.1,2026-01-09T19:12:00
23.5,36.9,1018.4,421,6.4,232,0,93.0,-67.1,2026-01-09T21:36:00
18.5,38.8,1012.8,419,13.8,133,1,91.8,-68.3,2026-01-10T00:00:00
22.2,44.2,1014.4,398,0.0,221,0,92.7,-69.4,2026-01-10T02:24:00
17.8,45.3,1012.9,420,12.3,201,0,91.4,-69.7,2026-01-10T04:48:00
19.1,37.8,1012.1,407,7.2,263,0,93.9,-72.7,2026-01-10T07:12:00
22.9,41.0,1016.1,355,14.7,244,0,95.4,-69.8,2026-01-10T09:36:00
22.1,37.4,1017.2,469,8.4,178,0,91.8,-65.6,2026-01-10T12:00:00
19.2,38.6,1009.0,372,2.0,162,0,95.4,-70.1,2026-01-10T14:24:00
20.5,47.8,1010.0,430,9.9,198,0,94.7,-68.0,2026-01-10T16:48:00
20.3,42.5,1013.9,474,5.6,173,0,94.6,-71.9,2026-01-10T19:12:00
22.4,47.1,1011.3,375,16.7,172,0,92.8,-68.1,2026-01-10T21:36:00
